Тип                                       Подтип                                                                                          Претензия по продукту
Сопровождение договора                    Сложности с погашением                                                                          Микрокредиты в МКК Уралсиб Финанс
Сопровождение договора                    Справки                                                                                         POS-кредит
Сопровождение договора                    Справки                                                                                         Автокредит
Сопровождение договора                    Справки                                                                                         Ипотека
Сопровождение договора                    Справки                                                                                         Микрокредиты в МКК Уралсиб Финанс
Сопровождение договора                    Справки                                                                                         Потребительский кредит
Сопровождение договора                    Справки                                                                                         Потребительский кредит (Ситибанк)
Сопровождение договора                    Т-Банк                                                                                          Потребительский кредит
Сопровождение договора                    Цифровой рубль                                                                                  Вклад/Депозит/Накопит.счет
Справки                                   Справка для госслужащих                                                                         Вклад/Депозит/Накопит.счет
Справки                                   Справка о наличии счетов в Банке                                                                Вклад/Депозит/Накопит.счет
Страхование                               Навязали оформление договора                                                                    Автокредит
Страхование                               Навязали оформление договора                                                                    Кредитная карта
Страхование                               Навязали оформление договора                                                                    Потребительский кредит
Страхование                               Отмена комиссии за добровольное/коллективное/личное страхование                                 Потребительский кредит
Страхование                               Требование вернуть деньги за доп.услуги                                                         Автокредит
Страхование                               Требование принять новый полис взамен расторгнутого                                             Потребительский кредит
Страхование                               Требование расторгнуть договор страхования                                                      Автокредит
Страхование                               Требование расторгнуть договор страхования                                                      Кредитная карта
Страхование                               Требование расторгнуть договор страхования                                                      Микрокредиты в МКК Уралсиб Финанс
Страхование                               Требование расторгнуть договор страхования                                                      Потребительский кредит
Уралсиб бонус                             Не согласен с размером начисленных бонусов                                                      Программа лояльности/Акции
Уралсиб бонус                             Невозможно компенсировать покупку бонусами                                                      Программа лояльности/Акции
Уралсиб бонус                             Неудобные/непонятные условия начисления/использования бонусов                                   Программа лояльности/Акции
Уралсиб бонус                             Проблемы при зачислении рублей после компенсации бонусов                                        Программа лояльности/Акции
Условия предоставления Услуги             Комиссия по пакету POS                                                                          Сервис уведомлений
Условия предоставления Услуги             Не приходят Push-уведомления                                                                    Сервис уведомлений
Условия предоставления Услуги             Не приходят смс                                                                                 Сервис уведомлений
Условия предоставления Услуги             Недовольство параметрами SMS/Push-уведомления                                                   Сервис уведомлений
Условия предоставления Услуги             Отмена комиссии за услугу sms-сервис                                                            Сервис уведомлений
Условия предоставления Услуги             Проблемы с отключение услуги                                                                    Сервис уведомлений
Условия предоставления Услуги             Проблемы с подключением услуги                                                                  Сервис уведомлений
Условия предоставления Услуги             Расторжение договора займа/страхования                                                          Микрокредиты в МКК Уралсиб Финанс
Финансовые претензии                      Сбой при операции внесения средств                                                              БПТ
Финансовые претензии                      Сбой при операции внесения средств                                                              Банкомат
Финансовые претензии                      Сбой при операции снятия средств                                                                Банкомат
Финансовые претензии                      Списана комиссия с карты стороннего Банка                                                       Банкомат
